,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
51,GO_Biological_Process_2023,Cell Surface Receptor Signaling Pathway Involved In Heart Development (GO:0061311),2/16,0.0020607262735191,0.0324564388079262,0,0,34.25301204819277,211.8444939484582,HEY1;NOG
52,GO_Biological_Process_2023,BMP Signaling Pathway (GO:0030509),3/61,0.0022320907157236,0.0340624637166286,0,0,12.525441547518923,76.46552338196585,NOG;SMAD9;SMAD6
53,GO_Biological_Process_2023,Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0007178),4/130,0.0022983008263647,0.0340624637166286,0,0,7.755829903978052,47.1212053800224,ID1;ATOH8;SMAD9;SMAD6
54,GO_Biological_Process_2023,Positive Regulation Of Glial Cell Differentiation (GO:0045687),2/17,0.0023290573481455,0.0340624637166286,0,0,31.967871485943775,193.7985608530978,ID2;CXCR4
55,GO_Biological_Process_2023,Mesenchyme Development (GO:0060485),2/17,0.0023290573481455,0.0340624637166286,0,0,31.967871485943775,193.7985608530978,WNT11;MEOX1
56,GO_Biological_Process_2023,Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508),8/557,0.0025286171754792,0.0350824032679751,0,0,3.664939796087337,21.91664305875009,MYOCD;WNT11;ID2;LEF1;ATOH8;HMGA1;HOXC13;FGF2
57,GO_Biological_Process_2023,Ureteric Bud Morphogenesis (GO:0060675),2/18,0.0026129750907771,0.0350824032679751,0,0,29.968373493975903,178.2298835204112,WNT11;FGF2
58,GO_Biological_Process_2023,Heart Trabecula Morphogenesis (GO:0061384),2/18,0.0026129750907771,0.0350824032679751,0,0,29.968373493975903,178.2298835204112,HEY1;NOG
59,GO_Biological_Process_2023,Mesenchyme Morphogenesis (GO:0072132),2/18,0.0026129750907771,0.0350824032679751,0,0,29.968373493975903,178.2298835204112,HEY1;NOG
60,GO_Biological_Process_2023,Pulmonary Valve Morphogenesis (GO:0003184),2/18,0.0026129750907771,0.0350824032679751,0,0,29.968373493975903,178.2298835204112,HEY1;SMAD6
61,GO_Biological_Process_2023,Regulation Of Fibroblast Growth Factor Receptor Signaling Pathway (GO:0040036),2/19,0.0029123453344535,0.0367569039739278,0,0,28.204110559886605,164.67806387147755,NOG;FGF2
