gene_id	symbol
CHM13_G0000670	AL590556.2
CHM13_G0000671	CELA3B
CHM13_G0000672	AL590556.3
CHM13_G0000673	RN7SL386P
CHM13_G0000674	RNU6-1022P
CHM13_G0000675	CELA3A
CHM13_G0000676	RN7SL186P
CHM13_G0000677	RNU6-776P
CHM13_G0000678	LINC01635
CHM13_G0000679	LINC00339
CHM13_G0000680	CDC42
CHM13_G0000681	CDC42-AS1
CHM13_G0000682	AL031281.1
CHM13_G0000683	CDC42-IT1
CHM13_G0000684	MPHOSPH6P1
CHM13_G0000685	WNT4
CHM13_G0000686	AL445253.1
CHM13_G0000687	MIR4418
CHM13_G0000688	PPIAP34
CHM13_G0000689	AL591122.1
CHM13_G0000690	ZBTB40
CHM13_G0000691	ZBTB40-IT1
CHM13_G0000692	EPHA8
CHM13_G0000693	MIR6127
CHM13_G0000694	C1QA
CHM13_G0000695	C1QC
CHM13_G0000696	C1QB
CHM13_G0000697	EPHB2
CHM13_G0000698	MIR4684
CHM13_G0000699	AL512444.1
CHM13_G0000700	MIR4253
CHM13_G0000701	LACTBL1
CHM13_G0000702	TEX46
CHM13_G0000703	MSTRG.84
CHM13_G0000704	AL031428.1
CHM13_G0000705	MIR3115
CHM13_G0000706	AL031428.2
CHM13_G0000707	LUZP1
CHM13_G0000708	AL161672.1
CHM13_G0000709	RNU6-514P
CHM13_G0000710	RNU6-135P
CHM13_G0000711	HTR1D
CHM13_G0000712	AL109936.2
CHM13_G0000713	LINC01355
CHM13_G0000714	AL109936.8
CHM13_G0000715	HNRNPR
CHM13_G0000716	ZNF436
CHM13_G0000717	ZNF436-AS1
CHM13_G0000718	AL109936.1
CHM13_G0000719	AL109936.3
CHM13_G0000720	TCEA3
CHM13_G0000721	AL357134.1
CHM13_G0000722	ASAP3
CHM13_G0000723	E2F2
CHM13_G0000724	AL021154.1
CHM13_G0000725	ID3
CHM13_G0000726	AL450043.1
CHM13_G0000727	MDS2
CHM13_G0000728	AL451000.1
CHM13_G0000729	RPL11
CHM13_G0000730	ELOA-AS1
CHM13_G0000731	ELOA
CHM13_G0000732	PITHD1
CHM13_G0000733	LYPLA2
CHM13_G0000734	GALE
CHM13_G0000735	HMGCL
CHM13_G0000736	FUCA1
CHM13_G0000737	CNR2
CHM13_G0000738	BTBD6P1
CHM13_G0000739	AL590609.2
CHM13_G0000740	MIR378F
CHM13_G0000741	H3P1
CHM13_G0000742	PNRC2
CHM13_G0000743	SRSF10
CHM13_G0000744	AL590609.1
CHM13_G0000745	AL591178.1
CHM13_G0000746	MYOM3
CHM13_G0000747	MYOM3-AS1
CHM13_G0000748	IL22RA1
CHM13_G0000749	IFNLR1
CHM13_G0000750	LINC02800
CHM13_G0000751	GRHL3-AS1
CHM13_G0000752	GRHL3
CHM13_G0000753	STPG1
CHM13_G0000754	MSTRG.91
CHM13_G0000755	RCAN3AS
CHM13_G0000756	RCAN3
CHM13_G0000757	NCMAP-DT
CHM13_G0000758	NCMAP
CHM13_G0000759	AL445686.1
CHM13_G0000760	Y_RNA
CHM13_G0000761	SRRM1
CHM13_G0000762	AL445648.1
CHM13_G0000763	CLIC4
CHM13_G0000764	RNU6-1208P
CHM13_G0000765	RUNX3
CHM13_G0000766	MIR6731
CHM13_G0000767	RUNX3-AS1
CHM13_G0000768	AL445471.1
CHM13_G0000769	MIR4425
CHM13_G0000770	LINC02793
CHM13_G0000771	AL050344.1
CHM13_G0000772	IFITM3P7
CHM13_G0000773	AL031432.1
CHM13_G0000774	SYF2
CHM13_G0000775	AL031432.4
CHM13_G0000776	AL031432.5
CHM13_G0000777	RSRP1
CHM13_G0000778	AL031432.3
CHM13_G0000779	AL031432.2
CHM13_G0000780	RHD
CHM13_G0000781	SDHDP6
CHM13_G0000782	AL928711.1
CHM13_G0000783	TMEM50A
CHM13_G0000784	RHCE
CHM13_G0000785	AL031284.1
CHM13_G0000786	MACO1
CHM13_G0000787	LDLRAP1
CHM13_G0000788	AL606491.1
CHM13_G0000789	MAN1C1
CHM13_G0000790	AL031280.1
