,C_1,C_2,T_6_1,T_6_2,T_24_1,T_24_2,T_72_1,T_72_2
Vmn2r50,0,0,0,0,0,0,0,0
Gm3883,0,0,0,0,0,0,0,1
Rp1l1,2,0,0,0,0,0,0,0
Prss57,2,5,0,0,0,0,0,0
Gm9118,1151,764,753,817,826,880,515,479
Gm43092,0,0,0,0,0,0,0,0
Fth-ps2,2,0,0,4,0,0,2,4
Gm19093,0,0,0,0,0,0,0,0
Ear-ps8,0,0,0,0,0,0,0,0
Slc43a1,184,179,220,167,144,127,147,193
Magea9,36,20,28,22,7,16,0,0
Gm52946,0,0,0,0,0,0,0,0
Kdm2b,1243,847,955,804,979,893,767,741
Gm4294,5247,3739,3255,3621,3599,3651,3065,3589
Cypt4,0,0,0,0,0,0,0,0
Gm7721,0,0,0,0,2,0,0,0
Nadsyn1,127,84,105,104,101,83,114,77
Gm46329,0,0,0,0,0,0,0,0
Stam2,3388,2590,2497,2543,2559,2625,2206,2066
Kdm4dl,0,0,0,0,2,0,0,0
Gm50368,0,0,0,0,0,0,0,0
Gm29567,0,0,0,0,0,0,0,0
Gm32885,0,0,0,0,0,0,0,0
Gm29512,0,0,0,0,0,0,0,0
Clnkos,0,0,0,0,0,0,0,0
Gm47574,0,0,0,0,0,0,0,0
Vmn2r-ps108,0,0,0,0,0,0,0,0
1810013L24Rik,3981,2918,2791,2752,3023,3159,2965,2934
Gm26956,0,0,0,0,0,0,0,0
Gm6397,74,73,75,64,61,58,11,36
Gm18062,0,0,0,0,0,0,0,0
Trbv22,0,0,0,0,0,0,0,0
Usf2-ps1,15,20,7,5,23,3,5,4
Gm24210,0,0,0,0,0,0,0,0
Gm16347,0,0,0,0,0,0,0,0
Gm12486,0,0,0,0,0,0,0,0
Rpl13-ps4,0,0,0,0,0,0,0,0
Zfp781,30,16,7,12,10,17,22,14
