,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,qvalue,-log(pvalue),-log(qvalue),BaseMean,log2(BaseMean),log2FC,abs(log2FC),sig
Fmod,37336.56502650253,0.21845267487215578,0.041069419871916035,5.319107880107588,1.0427729429533459e-07,4.258560188819321e-06,4.258560188819321e-06,6.981810246086856,5.370737210227226,37336.56502650253,15.188340224662175,0.21845267487215578,0.21845267487215578,sig
Eno1,42161.68988289658,-0.4616242453196822,0.03959898148518418,-11.657477743269666,2.101764425582635e-31,7.987288640665564e-29,7.987288640665564e-29,30.67741596309508,28.097600620965892,42161.68988289658,15.36367929009487,-0.4616242453196822,0.4616242453196822,sig
Itga5,57756.35597387183,0.5037575937850288,0.04818220062043912,10.455263298441633,1.3861323692306462e-25,3.870138151723362e-23,3.870138151723362e-23,24.858195294629354,22.41227353176139,57756.35597387183,15.817717079345643,0.5037575937850288,0.5037575937850288,sig
Actn1,53457.75304879568,0.1719153468327215,0.04684541043738707,3.669843966091432,0.0002426985664800227,0.00421900773572197,0.00421900773572197,3.614932788858236,2.3747896783208247,53457.75304879568,15.706138565965093,0.1719153468327215,0.1719153468327215,sig
Ccnd2,39545.641275990216,0.11393668353011951,0.03993506933051257,2.8530483467338232,0.004330203310720053,0.04375296269864184,0.04375296269864184,2.36349171227228,1.3589925337249296,39545.641275990216,15.271267550347705,0.11393668353011951,0.11393668353011951,sig
Gas6,22066.244649470296,-0.08115088571031602,0.04209277478893603,-1.9279053499615404,0.0538669001810815,0.2728445247602281,0.2728445247602281,1.2686780155991275,0.5640847568901022,22066.244649470296,14.429618883262796,-0.08115088571031602,0.08115088571031602,normal
Cxcl12,21677.66930456359,-0.007853771221373871,0.04195108461480572,-0.18721259041302724,0.851493953640813,0.9613290051545067,0.9613290051545067,0.06981843156486059,0.017127953986153716,21677.66930456359,14.403988582430038,-0.007853771221373871,0.007853771221373871,normal
Lamp1,43419.697301107866,-0.05862919249784205,0.039917672430109755,-1.4687527836322007,0.14189985498538146,0.48303854592062795,0.48303854592062795,0.8480180483697339,0.3160182116652927,43419.697301107866,15.406095274198329,-0.05862919249784205,0.05862919249784205,normal
Hsp90b1,41401.204906297484,0.006301409611566921,0.047959237777174674,0.13139094580368754,0.8954660507730977,0.9736142247836971,0.9736142247836971,0.0479508746294602,0.011613089564416678,41401.204906297484,15.337419981155113,0.006301409611566921,0.006301409611566921,normal
Actg2,57647.58818525436,0.24207640734721203,0.0383598945619407,6.310664044092328,2.778407343379181e-10,1.6313901658699818e-08,1.6313901658699818e-08,9.55620408184787,7.787442159977412,57647.58818525436,15.81499765623703,0.24207640734721203,0.24207640734721203,sig
