,log2FC_Treat_6h_vs_Control,padj_Treat_6h_vs_Control,log2FC_Treat_24h_vs_Control,padj_Treat_24h_vs_Control,log2FC_Treat_72h_vs_Control,padj_Treat_72h_vs_Control,Cluster,C_1,C_2,T_6_1,T_6_2,T_24_1,T_24_2,T_72_1,T_72_2
Zfp358,0.07922377767969899,0.849015876899047,0.06309438744306728,0.8831891469577007,0.7645049846113212,2.8242529214662318e-08,,4.192845027480627,4.3419225190456165,4.345343810307712,4.323867004735329,4.354004327069762,4.335653868528243,4.88536224893433,4.999429638695277
Tyk2,0.18583513419282952,0.4468743970572802,0.07354599734494431,0.8384812063545164,-0.1513369019126904,0.40600839997442056,,4.459414669601803,4.4787783354693795,4.705509623622019,4.568761071415638,4.62001116049596,4.492090268366705,4.252328742551002,4.2841590690205145
Tnn,0.04702060189508373,0.919969986960284,0.3731269110966967,0.018039184938329966,0.24158163600753868,0.1571667108091846,,4.384351763732652,4.282517221028765,4.4253092177456805,4.317833951721839,4.738103315927286,4.683324240036176,4.426645797176589,4.589156949243761
Fam160a2,-0.012504689762076599,0.9792763183019211,-0.05461311535118503,0.890729906840272,0.07522094154093206,0.6999026734092355,,4.456890269599745,4.537554030100281,4.492044727672425,4.46157182535732,4.500093516283775,4.424052454208995,4.50130572733493,4.522169595858855
Smpd4,0.1722833132954159,0.5153829259092343,0.1749093967336267,0.47490796994190726,0.19365182729410452,0.30795710990618363,,4.415887318782915,4.320423541700581,4.5471371137958645,4.5064690641617355,4.597461297321617,4.512395442015858,4.338244250260734,4.64532327095695
Ndufb6,-0.027236669787557708,0.9534383880360154,-0.08258730280941043,0.8284472737138749,-0.5367372355401443,0.0006920811433725044,,4.706810969881279,4.527354320215054,4.552358660209994,4.623591628660832,4.6764280890665075,4.436503028859941,4.015719718748136,4.094291885611006
Tars2,0.21716967341491564,0.28522662773560986,-0.18287770159556802,0.4351836150731555,-0.4394884282786355,0.005171301485702899,,4.6146928127223985,4.517081985645462,4.793396046388573,4.743964566962778,4.450627475561547,4.37129531433575,4.061085947103713,4.1262199061499345
Mrps16,0.07302943338814735,0.8504665250436177,-0.0351565219105909,0.9385296302444008,0.0015114565116470153,0.9939241469607932,,4.523544971930142,4.443051726206727,4.486599838537815,4.60554533050531,4.5087509920457265,4.429401577219548,4.351758689574767,4.5049252234539905
Sharpin,-0.02341692944633914,0.9613290051545067,0.12322970723020665,0.6695283439379546,0.2885002575404605,0.06502231469953881,,4.356181107806127,4.455656924420643,4.396565139401917,4.353659539668029,4.527616517159067,4.553801668955429,4.611339561297944,4.637432150251637
Cd82,0.11970849891379283,0.7322898676413246,0.20238347888148467,0.3953067794782876,0.7430186202631147,4.6264615081324797e-07,,4.2768233652179966,4.175550983177997,4.323113564879565,4.345774826299999,4.412382106767504,4.464564355057892,4.746101403706324,5.010469525855622
Knstrn,-0.13174275428631343,0.6774669920844183,0.381491246797345,0.00462522845801728,-1.706015800795045,7.998247451510844e-18,1.0,4.691860635497754,4.598907156259621,4.396565139401917,4.6219603522935335,5.019498684847103,5.048008345916923,3.2415218426321384,2.733666204802325
Cenpa,-0.18174069812080818,0.509999576870266,0.33461912492190027,0.039877960482659486,-1.830629541270096,9.974170234754726e-25,1.0,4.5557519692158595,4.822534752509602,4.453491772134131,4.565370070002599,5.05775886378466,5.008049148519931,3.046367935858358,2.836503265471447
Eif1ad,0.08922407846611133,0.7969159819996324,-0.12065743418987743,0.6723762640496765,-0.5912210001287194,0.00046521173710396173,,4.6669579759271675,4.549363261294372,4.643252256968356,4.7334272688470875,4.554624262692215,4.47149522547126,4.1096217388371175,3.8621150147919265
Cnrip1,-0.08984530482697066,0.8362320643184747,0.23855573241120875,0.272648561202898,0.8114657247070978,1.4020209199124957e-09,,4.188286748590785,4.292589530987993,4.038076166432053,4.2497498701585394,4.441612970442706,4.525775173373785,4.933662381725609,4.987063194015646
Zbtb18,0.103936955062001,0.7461802209892078,-0.07882854555395657,0.8130496230254257,-0.49408166674513865,0.0021137000004953312,,4.548656737124305,4.6214579851171615,4.719503040041522,4.631720457054642,4.566283003948993,4.486969004731214,3.938494588271002,4.17282494021194
